key,리콜,품질표시,법적평판,5년이내,비고,조사일
bertolli,통과,탈락,탈락,X,투명병 유통에 따른 산화 이슈 지적(UC Davis 관련 보도) · 2016년 원산지·EVOO 등급 허위표시 집단소송 $700만 배상 합의(Koller v. Deoleo),2026-07-23
pompeian,통과,탈락,탈락,X,감각평가에서 EVOO 등급 기준 미달(산패·풍미결함) 샘플 지적 · Bertolli 등 10개 브랜드와 함께 EVOO 허위표시 집단소송 피고 포함(플로리다주),2026-07-23
chosen foods,통과,통과,통과,-,UC Davis 2020 아보카도오일 순도연구서 22개 브랜드 중 순도 100% 통과 단 2곳 중 하나로 확인,2026-07-23
betterbody foods,통과,통과,통과,-,UC Davis 아보카도오일 순도연구 대상 브랜드 목록엔 포함되나 이 브랜드를 특정한 부적합 판정은 검색결과에 없음,2026-07-23
hellmann,통과,통과,통과,-,'With Olive Oil'(올리브유 첨가) 라인 한정 집단소송 있음(Hite v. Unilever, 올리브유 함량 과장표기) — 이번에 노출된 'Real Mayonnaise'(정통 마요네즈) 제품과는 무관. 'Just Mayo' 명칭소송은 철회(2015)
member's mark,통과,통과,통과,-,동일 PB의 타품목(냉동건조과일-리스테리아 2025 / Super Greens-살모넬라)서 리콜 있었으나 이 유형(올리브유·아보카도오일·마요네즈)과는 무관,2026-07-23
great value,통과,통과,통과,-,검색결과 특이사항 없음,2026-07-23
duke's,통과,통과,통과,-,브랜드명으로 검색했으나 리콜·소송·품질 이슈 검색결과 없음,2026-07-23
terra delyssa,통과,통과,통과,-,브랜드명으로 검색했으나 리콜·소송·품질 이슈 검색결과 없음,2026-07-23
smash kitchen,통과,통과,통과,-,걸리는 리콜·소송·품질 이슈 없음,2026-07-23
carapelli,탈락,탈락,탈락,X,2015년 정제공정 문제로 조기변질·잔류농약 검출 리콜(20개주) · 2014년 원산지·EVOO 등급 허위표시 집단소송(2018년 합의) · 이탈리아 반독점당국 라벨링 위반 벌금,2026-07-23
iliada,통과,통과,통과,-,브랜드명으로 검색했으나 리콜·소송·품질 이슈 검색결과 없음,2026-07-23
pam,통과,통과,탈락,O,에어로졸 캔 폭발·화상 다수 소송(2019년 이후, 배상 판결 최대 $2500만) · 정식 리콜은 없었음(제조사 캔 재설계만 진행) · 오일 자체 순도 이슈는 아님
kraft,탈락,탈락,통과,X,Kraft Real Mayo(레몬즙) 이물질(벌레) 혼입으로 4천여 케이스 리콜(FDA) · 별도 소송 이력은 검색결과 없음,2026-07-23
tropical plantation,통과,탈락,통과,O,2024년 NAD(광고자율심의기구)가 '100% 순수 아보카도오일' 표시 근거 불충분 판정→표시 중단 권고(Chosen Foods 제소) · 정식 소송·제재는 아님,2026-07-23
heinz,통과,통과,통과,-,브랜드명으로 검색했으나(마요네즈/케찹 라인 기준) 리콜·소송·품질 이슈 검색결과 없음,2026-07-23
nature valley,탈락,통과,탈락,X,2016년 리스테리아 우려로 그래놀라바 일부 리콜(공급업체발) · '100% natural' 표시 관련 집단소송 합의 후 표시 삭제(글리포세이트 검출 주장),2026-07-23
rao's,탈락,통과,통과,O,견과류 미표기(로스티드 레드페퍼) 및 라벨 오류(치킨뇨끼 수프) 관련 소규모 리콜 있었음 · 별도 소송 확인 안 됨,2026-07-23
jif,탈락,통과,탈락,O,2022년 살모넬라 오염으로 대규모 리콜(제조시설발) · 다수 집단소송 진행,2026-07-23
